gyro offsets
0.00, 0.00, 0.05

rotate slowly and carefully in 3D
0.96, 0.20, -0.06, 49.28, 41.09, 7.95
0.95, -0.49, -0.18, 50.37, 38.07, 9.67
0.86, -0.54, -0.00, 50.34, 38.62, -0.27
0.54, -0.39, 0.94, 46.34, 34.20, -17.27
0.55, 0.02, 0.79, 45.43, 20.39, -18.30
0.71, 0.51, 0.51, 46.20, 8.58, -7.48
0.87, 0.37, -0.18, 46.14, 8.33, 12.92
0.82, -0.13, -0.54, 42.25, 24.28, 26.23
0.77, -0.49, -0.22, 45.69, 39.62, 18.88
0.71, -0.67, 0.41, 47.38, 45.37, -2.60
0.50, -0.34, 0.82, 44.04, 40.10, -15.42
0.44, -0.14, 0.99, 42.72, 30.81, -21.51
0.63, 0.10, 0.82, 47.96, 22.39, -15.03
0.84, 0.14, 0.36, 50.92, 16.53, -1.15
0.94, 0.12, -0.03, 50.17, 15.83, 11.07
0.89, 0.13, -0.41, 45.90, 16.77, 19.74
0.84, -0.21, -0.49, 45.07, 20.98, 22.39
0.79, -0.44, -0.47, 46.30, 31.84, 21.80
0.74, -0.71, 0.13, 48.79, 43.48, 7.70
0.55, -0.45, 0.65, 46.06, 40.33, -15.03
0.35, -0.25, 0.98, 39.79, 30.46, -24.24
0.37, -0.08, 1.16, 39.82, 22.33, -23.21
0.72, 0.16, 0.54, 48.02, 16.53, -9.74
0.90, 0.22, 0.34, 47.78, 10.08, -1.98
0.88, 0.24, -0.22, 44.58, 5.13, 5.16
0.85, 0.36, -0.31, 40.49, 2.86, 12.52
0.66, 0.41, -0.76, 35.75, 6.68, 22.97
0.60, -0.16, -0.84, 36.78, 20.35, 29.97
0.68, -0.47, -0.61, 39.66, 34.85, 26.51
0.73, -0.58, 0.23, 47.47, 44.67, 9.09
0.62, -0.40, 0.58, 46.96, 43.31, -8.98
0.50, -0.33, 0.78, 43.25, 40.27, -15.82
0.41, -0.25, 0.85, 40.55, 35.47, -21.77
0.31, 0.24, 0.98, 39.11, 25.45, -24.01
0.36, 0.32, 0.89, 39.97, 14.58, -20.25
0.42, 0.70, 0.55, 42.08, 6.68, -11.17
0.62, 0.68, 0.37, 45.68, 7.37, -4.28
0.79, 0.46, 0.13, 48.60, 11.11, 6.10
0.91, 0.19, 0.22, 50.84, 17.68, 8.70
0.96, 0.05, 0.10, 50.84, 23.12, 11.60
0.94, -0.02, -0.23, 49.21, 27.40, 16.26
